Experiment,Type,Group,Group2,True_diff_mean,LM_diff_mean,PB_diff_mean,CI_width,RMSE,CIC
Muller_2016,UPS,0.5 fmol,25 fmol,-5.64,-5.21 (1.03),-5.21 (1.03),2.5 (0.95),0.65 (1.16),93.33 (25.03)
Muller_2016,UPS,1 fmol,25 fmol,-4.64,-4.28 (0.82),-4.28 (0.82),2.06 (0.86),0.43 (0.78),95.33 (21.16)
Muller_2016,UPS,2.5 fmol,25 fmol,-3.32,-3.08 (0.57),-3.08 (0.57),1.96 (0.71),0.27 (0.58),99.33 (8.16)
Muller_2016,UPS,5 fmol,25 fmol,-2.32,-2.13 (0.34),-2.13 (0.34),1.85 (0.57),0.26 (0.49),100 (0)
Muller_2016,UPS,10 fmol,25 fmol,-1.32,-1.15 (0.21),-1.15 (0.21),1.75 (0.32),0.34 (0.65),96 (19.66)
Muller_2016,YEAST,0.5 fmol,25 fmol,0,0.09 (0.36),0.09 (0.36),2.05 (0.88),0.24 (0.48),99.75 (4.98)
Muller_2016,YEAST,1 fmol,25 fmol,0,0.12 (0.34),0.12 (0.34),1.93 (0.8),0.22 (0.53),99.59 (6.37)
Muller_2016,YEAST,2.5 fmol,25 fmol,0,0.1 (0.3),0.1 (0.3),2.04 (0.88),0.2 (0.48),99.87 (3.65)
Muller_2016,YEAST,5 fmol,25 fmol,0,0.08 (0.28),0.08 (0.28),1.95 (0.75),0.19 (0.43),99.84 (4.05)
Muller_2016,YEAST,10 fmol,25 fmol,0,0.05 (0.29),0.05 (0.29),1.94 (0.74),0.21 (0.44),99.72 (5.28)
Bouyssie_2020,UPS,10 amol,50 fmol,-12.29,-4.7 (2.2),-4.7 (2.2),1.54 (0.54),5.07 (2.92),0 (0)
Bouyssie_2020,UPS,50 amol,50 fmol,-9.97,-4.67 (2.2),-4.67 (2.2),1.62 (0.8),2.83 (2.16),4.55 (21.32)
Bouyssie_2020,UPS,100 amol,50 fmol,-8.97,-4.7 (2.22),-4.7 (2.22),1.38 (0.43),1.87 (1.77),9.09 (29.42)
Bouyssie_2020,UPS,250 amol,50 fmol,-7.64,-4.45 (2.03),-4.45 (2.03),1.57 (0.82),0.87 (1.06),63.64 (49.24)
Bouyssie_2020,UPS,500 amol,50 fmol,-6.64,-4.16 (1.83),-4.16 (1.83),1.31 (0.31),0.46 (0.47),90.91 (29.42)
Bouyssie_2020,UPS,1 fmol,50 fmol,-5.64,-3.8 (1.61),-3.8 (1.61),1.44 (0.65),0.79 (0.65),31.82 (47.67)
Bouyssie_2020,UPS,5 fmol,50 fmol,-3.32,-2.61 (1.01),-2.61 (1.01),1.27 (0.35),1.96 (1.54),0 (0)
Bouyssie_2020,UPS,10 fmol,50 fmol,-2.32,-1.93 (0.84),-1.93 (0.84),1.3 (0.41),2.38 (2.2),0 (0)
Bouyssie_2020,UPS,25 fmol,50 fmol,-1,-0.77 (0.3),-0.77 (0.3),1.15 (0.14),2.62 (2.65),0 (0)
Bouyssie_2020,YEAST,10 amol,50 fmol,0,0.12 (0.3),0.12 (0.3),1.28 (0.51),0.15 (0.31),99.77 (4.77)
Bouyssie_2020,YEAST,50 amol,50 fmol,0,0.15 (0.31),0.15 (0.31),1.26 (0.49),0.15 (0.34),99.72 (5.28)
Bouyssie_2020,YEAST,100 amol,50 fmol,0,0.15 (0.3),0.15 (0.3),1.25 (0.46),0.13 (0.3),99.79 (4.53)
Bouyssie_2020,YEAST,250 amol,50 fmol,0,0.15 (0.32),0.15 (0.32),1.25 (0.48),0.15 (0.39),99.74 (5.07)
Bouyssie_2020,YEAST,500 amol,50 fmol,0,0.17 (0.29),0.17 (0.29),1.26 (0.48),0.13 (0.29),99.84 (4.02)
Bouyssie_2020,YEAST,1 fmol,50 fmol,0,0.17 (0.29),0.17 (0.29),1.25 (0.49),0.14 (0.31),99.81 (4.37)
Bouyssie_2020,YEAST,5 fmol,50 fmol,0,0.15 (0.29),0.15 (0.29),1.26 (0.49),0.13 (0.29),99.8 (4.45)
Bouyssie_2020,YEAST,10 fmol,50 fmol,0,0.14 (0.26),0.14 (0.26),1.24 (0.47),0.14 (0.35),99.7 (5.48)
Bouyssie_2020,YEAST,25 fmol,50 fmol,0,0.07 (0.24),0.07 (0.24),1.25 (0.5),0.16 (0.41),99.74 (5.14)
Huang_2020,UPS,0.75 amol,7.5 fmol,-3.33,-2.9 (1.28),-2.9 (1.28),1.54 (1.37),0.53 (0.9),91.61 (27.78)
Huang_2020,UPS,0.83 amol,7.5 fmol,-3.18,-2.82 (1.28),-2.82 (1.28),1.58 (1.55),0.56 (1.02),90.88 (28.85)
Huang_2020,UPS,1.07 amol,7.5 fmol,-2.82,-2.52 (1.18),-2.52 (1.18),1.55 (1.59),0.44 (0.91),95.62 (20.5)
Huang_2020,UPS,2.04 amol,7.5 fmol,-1.89,-1.63 (0.9),-1.63 (0.9),1.29 (1.18),0.37 (0.67),93.43 (24.82)
Huang_2020,MOUSE,0.75 amol,7.5 fmol,0,0.03 (0.55),0.03 (0.55),1.35 (1.14),0.31 (0.66),98.26 (13.07)
Huang_2020,MOUSE,0.83 amol,7.5 fmol,0,0.03 (0.55),0.03 (0.55),1.35 (1.11),0.3 (0.67),98.36 (12.71)
Huang_2020,MOUSE,1.07 amol,7.5 fmol,0,0.03 (0.55),0.03 (0.55),1.35 (1.12),0.3 (0.64),98.53 (12.05)
Huang_2020,MOUSE,2.04 amol,7.5 fmol,0,0.01 (0.54),0.01 (0.54),1.39 (1.17),0.31 (0.69),98.47 (12.28)
Chion_2022,UPS,0.05 fmol,10 fmol,-7.64,-4.01 (2.45),-4.01 (2.45),2.37 (1.03),3.38 (3.45),28.97 (45.58)
Chion_2022,UPS,0.25 fmol,10 fmol,-5.32,-4.44 (0.96),-4.44 (0.96),2.07 (0.69),0.54 (0.78),94.39 (23.11)
Chion_2022,UPS,0.5 fmol,10 fmol,-4.32,-3.22 (1.11),-3.22 (1.11),1.97 (1),0.63 (1.07),90.65 (29.24)
Chion_2022,UPS,1.25 fmol,10 fmol,-3,-3.09 (0.66),-3.09 (0.66),2.31 (1.35),1.02 (1.03),67.29 (47.14)
Chion_2022,UPS,2.5 fmol,10 fmol,-2,-1.68 (0.39),-1.68 (0.39),1.94 (0.87),0.76 (0.93),74.77 (43.64)
Chion_2022,UPS,5 fmol,10 fmol,-1,-1.28 (0.48),-1.28 (0.48),2.13 (1.13),1.26 (1.43),59.81 (49.26)
Chion_2022,ARATH,0.05 fmol,10 fmol,0,0.04 (0.55),0.04 (0.55),1.94 (0.75),0.32 (0.53),99.22 (8.82)
Chion_2022,ARATH,0.25 fmol,10 fmol,0,0.08 (0.53),0.08 (0.53),1.88 (0.71),0.3 (0.52),99.34 (8.08)
Chion_2022,ARATH,0.5 fmol,10 fmol,0,0.09 (0.5),0.09 (0.5),1.9 (0.73),0.25 (0.43),99.55 (6.67)
Chion_2022,ARATH,1.25 fmol,10 fmol,0,0.08 (0.51),0.08 (0.51),2.21 (0.99),0.37 (0.68),98.59 (11.78)
Chion_2022,ARATH,2.5 fmol,10 fmol,0,0.05 (0.38),0.05 (0.38),1.94 (0.77),0.21 (0.44),99.75 (5.02)
Chion_2022,ARATH,5 fmol,10 fmol,0,0.02 (0.44),0.02 (0.44),2.16 (1),0.43 (0.78),98.09 (13.7)